timestamp,ticker,name,percent_gain
2025-06-12 20:00:46,ORCL,Oracle Corp,13.87
2025-06-12 20:00:46,TAC,TransAlta Corp,8.69
2025-06-12 20:00:46,GENI,Genius Sports Ltd,7.97
2025-06-12 20:00:46,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,7.68
2025-06-12 20:00:46,AU,Anglogold Ashanti PLC,6.65
2025-06-12 20:00:46,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:00:46,FN,Fabrinet,6.12
2025-06-12 20:00:46,VEON,VEON Ltd,6.07
2025-06-12 20:00:46,SEZL,Sezzle Inc,5.97
2025-06-12 20:00:46,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.85
2025-06-12 20:00:46,APLD,Applied Digital Corp,5.81
2025-06-12 20:00:46,ONC,Beigene Ltd,5.52
2025-06-12 20:00:46,RARE,Ultragenyx Pharmaceutical Inc,5.45
2025-06-12 20:00:46,CRK,Comstock Resources Inc,5.41
2025-06-12 20:00:46,NAMS,NewAmsterdam Pharma Company NV,5.32
2025-06-12 20:00:46,NVCR,Novocure Ltd,5.18
2025-06-12 20:00:46,SMMT,Summit Therapeutics Inc,4.98
2025-06-12 20:00:46,ZLAB,Zai Lab Ltd - ADR,4.93
2025-06-12 20:00:46,CRDO,Credo Technology Group Holding Ltd,4.76
2025-06-12 20:00:46,CAH,Cardinal Health Inc,4.72
2025-06-12 20:08:41,ORCL,Oracle Corp,13.83
2025-06-12 20:08:41,TAC,TransAlta Corp,9.36
2025-06-12 20:08:41,GENI,Genius Sports Ltd,8.07
2025-06-12 20:08:41,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,7.51
2025-06-12 20:08:41,AU,Anglogold Ashanti PLC,6.76
2025-06-12 20:08:41,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:08:41,APLD,Applied Digital Corp,6.49
2025-06-12 20:08:41,VEON,VEON Ltd,6.17
2025-06-12 20:08:41,SEZL,Sezzle Inc,6.14
2025-06-12 20:08:41,FN,Fabrinet,6.06
2025-06-12 20:08:41,CRK,Comstock Resources Inc,5.89
2025-06-12 20:08:41,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.75
2025-06-12 20:08:41,ONC,Beigene Ltd,5.74
2025-06-12 20:08:41,RARE,Ultragenyx Pharmaceutical Inc,5.43
2025-06-12 20:08:41,CRDO,Credo Technology Group Holding Ltd,5.33
2025-06-12 20:08:41,SMMT,Summit Therapeutics Inc,5.26
2025-06-12 20:08:41,NVCR,Novocure Ltd,5.18
2025-06-12 20:08:41,ZLAB,Zai Lab Ltd - ADR,5.05
2025-06-12 20:08:41,CAH,Cardinal Health Inc,4.80
2025-06-12 20:08:41,NAMS,NewAmsterdam Pharma Company NV,4.73
2025-06-12 20:11:43,ORCL,Oracle Corp,13.86
2025-06-12 20:11:43,TAC,TransAlta Corp,9.31
2025-06-12 20:11:43,GENI,Genius Sports Ltd,7.92
2025-06-12 20:11:43,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,7.51
2025-06-12 20:11:43,AU,Anglogold Ashanti PLC,6.78
2025-06-12 20:11:43,APLD,Applied Digital Corp,6.73
2025-06-12 20:11:43,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:11:43,SEZL,Sezzle Inc,6.41
2025-06-12 20:11:43,FN,Fabrinet,6.19
2025-06-12 20:11:43,VEON,VEON Ltd,6.17
2025-06-12 20:11:43,CRK,Comstock Resources Inc,6.06
2025-06-12 20:11:43,RARE,Ultragenyx Pharmaceutical Inc,6.00
2025-06-12 20:11:43,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.75
2025-06-12 20:11:43,ONC,Beigene Ltd,5.74
2025-06-12 20:11:43,CRDO,Credo Technology Group Holding Ltd,5.25
2025-06-12 20:11:43,NVCR,Novocure Ltd,5.18
2025-06-12 20:11:43,ZLAB,Zai Lab Ltd - ADR,5.12
2025-06-12 20:11:43,SMMT,Summit Therapeutics Inc,5.11
2025-06-12 20:11:43,NAMS,NewAmsterdam Pharma Company NV,5.07
2025-06-12 20:11:43,CAH,Cardinal Health Inc,4.79
2025-06-12 20:14:44,ORCL,Oracle Corp,13.61
2025-06-12 20:14:44,TAC,TransAlta Corp,9.41
2025-06-12 20:14:44,GENI,Genius Sports Ltd,8.07
2025-06-12 20:14:44,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.03
2025-06-12 20:14:44,APLD,Applied Digital Corp,6.80
2025-06-12 20:14:44,AU,Anglogold Ashanti PLC,6.76
2025-06-12 20:14:44,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:14:44,SEZL,Sezzle Inc,6.29
2025-06-12 20:14:44,CRK,Comstock Resources Inc,6.08
2025-06-12 20:14:44,FN,Fabrinet,5.84
2025-06-12 20:14:44,RARE,Ultragenyx Pharmaceutical Inc,5.83
2025-06-12 20:14:44,ONC,Beigene Ltd,5.78
2025-06-12 20:14:44,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.77
2025-06-12 20:14:44,VEON,VEON Ltd,5.43
2025-06-12 20:14:44,CRDO,Credo Technology Group Holding Ltd,5.21
2025-06-12 20:14:44,NVCR,Novocure Ltd,5.07
2025-06-12 20:14:44,ZLAB,Zai Lab Ltd - ADR,5.04
2025-06-12 20:14:44,SMMT,Summit Therapeutics Inc,4.99
2025-06-12 20:14:44,YMM,Full Truck Alliance Co Ltd - ADR,4.91
2025-06-12 20:14:44,NAMS,NewAmsterdam Pharma Company NV,4.88
2025-06-12 20:17:45,ORCL,Oracle Corp,13.67
2025-06-12 20:17:45,TAC,TransAlta Corp,9.79
2025-06-12 20:17:45,GENI,Genius Sports Ltd,8.39
2025-06-12 20:17:45,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.03
2025-06-12 20:17:45,APLD,Applied Digital Corp,7.11
2025-06-12 20:17:45,AU,Anglogold Ashanti PLC,6.80
2025-06-12 20:17:45,SEZL,Sezzle Inc,6.52
2025-06-12 20:17:45,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:17:45,CRK,Comstock Resources Inc,6.18
2025-06-12 20:17:45,VEON,VEON Ltd,5.87
2025-06-12 20:17:45,FN,Fabrinet,5.84
2025-06-12 20:17:45,RARE,Ultragenyx Pharmaceutical Inc,5.72
2025-06-12 20:17:45,ONC,Beigene Ltd,5.52
2025-06-12 20:17:45,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.49
2025-06-12 20:17:45,CRDO,Credo Technology Group Holding Ltd,5.14
2025-06-12 20:17:45,SMMT,Summit Therapeutics Inc,4.95
2025-06-12 20:17:45,NVCR,Novocure Ltd,4.95
2025-06-12 20:17:45,ZLAB,Zai Lab Ltd - ADR,4.95
2025-06-12 20:17:45,CAH,Cardinal Health Inc,4.88
2025-06-12 20:17:45,YMM,Full Truck Alliance Co Ltd - ADR,4.87
2025-06-12 20:20:47,ORCL,Oracle Corp,13.78
2025-06-12 20:20:47,TAC,TransAlta Corp,9.50
2025-06-12 20:20:47,GENI,Genius Sports Ltd,8.49
2025-06-12 20:20:47,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.03
2025-06-12 20:20:47,APLD,Applied Digital Corp,7.59
2025-06-12 20:20:47,AU,Anglogold Ashanti PLC,6.77
2025-06-12 20:20:47,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:20:47,SEZL,Sezzle Inc,6.44
2025-06-12 20:20:47,CRK,Comstock Resources Inc,6.22
2025-06-12 20:20:47,VEON,VEON Ltd,5.87
2025-06-12 20:20:47,FN,Fabrinet,5.82
2025-06-12 20:20:47,ONC,Beigene Ltd,5.55
2025-06-12 20:20:47,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.43
2025-06-12 20:20:47,RARE,Ultragenyx Pharmaceutical Inc,5.41
2025-06-12 20:20:47,CRDO,Credo Technology Group Holding Ltd,5.23
2025-06-12 20:20:47,NVCR,Novocure Ltd,4.95
2025-06-12 20:20:47,ZLAB,Zai Lab Ltd - ADR,4.95
2025-06-12 20:20:47,YMM,Full Truck Alliance Co Ltd - ADR,4.79
2025-06-12 20:20:47,CAH,Cardinal Health Inc,4.74
2025-06-12 20:20:47,SMMT,Summit Therapeutics Inc,4.62
2025-06-12 20:23:49,ORCL,Oracle Corp,13.56
2025-06-12 20:23:49,TAC,TransAlta Corp,9.74
2025-06-12 20:23:49,GENI,Genius Sports Ltd,8.33
2025-06-12 20:23:49,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.03
2025-06-12 20:23:49,APLD,Applied Digital Corp,7.39
2025-06-12 20:23:49,AU,Anglogold Ashanti PLC,6.76
2025-06-12 20:23:49,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:23:49,SEZL,Sezzle Inc,6.41
2025-06-12 20:23:49,CRK,Comstock Resources Inc,6.18
2025-06-12 20:23:49,RARE,Ultragenyx Pharmaceutical Inc,5.84
2025-06-12 20:23:49,FN,Fabrinet,5.82
2025-06-12 20:23:49,ONC,Beigene Ltd,5.61
2025-06-12 20:23:49,VEON,VEON Ltd,5.53
2025-06-12 20:23:49,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.47
2025-06-12 20:23:49,CRDO,Credo Technology Group Holding Ltd,5.42
2025-06-12 20:23:49,NVCR,Novocure Ltd,5.07
2025-06-12 20:23:49,ZLAB,Zai Lab Ltd - ADR,5.00
2025-06-12 20:23:49,CAH,Cardinal Health Inc,4.73
2025-06-12 20:23:49,YMM,Full Truck Alliance Co Ltd - ADR,4.67
2025-06-12 20:23:49,NEM,Newmont Corporation,4.63
2025-06-12 20:26:50,ORCL,Oracle Corp,13.33
2025-06-12 20:26:50,TAC,TransAlta Corp,9.41
2025-06-12 20:26:50,GENI,Genius Sports Ltd,8.38
2025-06-12 20:26:50,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.26
2025-06-12 20:26:50,APLD,Applied Digital Corp,6.85
2025-06-12 20:26:50,AU,Anglogold Ashanti PLC,6.63
2025-06-12 20:26:50,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:26:50,SEZL,Sezzle Inc,6.43
2025-06-12 20:26:50,CRK,Comstock Resources Inc,6.27
2025-06-12 20:26:50,FN,Fabrinet,5.84
2025-06-12 20:26:50,RARE,Ultragenyx Pharmaceutical Inc,5.57
2025-06-12 20:26:50,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.54
2025-06-12 20:26:50,VEON,VEON Ltd,5.53
2025-06-12 20:26:50,ONC,Beigene Ltd,5.44
2025-06-12 20:26:50,CRDO,Credo Technology Group Holding Ltd,5.14
2025-06-12 20:26:50,NVCR,Novocure Ltd,5.01
2025-06-12 20:26:50,ZLAB,Zai Lab Ltd - ADR,4.90
2025-06-12 20:26:50,NEM,Newmont Corporation,4.71
2025-06-12 20:26:50,CAH,Cardinal Health Inc,4.61
2025-06-12 20:26:50,SMMT,Summit Therapeutics Inc,4.49
2025-06-12 20:29:51,ORCL,Oracle Corp,13.29
2025-06-12 20:29:51,TAC,TransAlta Corp,9.03
2025-06-12 20:29:51,GENI,Genius Sports Ltd,8.38
2025-06-12 20:29:51,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.26
2025-06-12 20:29:51,AU,Anglogold Ashanti PLC,6.65
2025-06-12 20:29:51,APLD,Applied Digital Corp,6.57
2025-06-12 20:29:51,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:29:51,SEZL,Sezzle Inc,6.30
2025-06-12 20:29:51,CRK,Comstock Resources Inc,6.25
2025-06-12 20:29:51,FN,Fabrinet,5.85
2025-06-12 20:29:51,RARE,Ultragenyx Pharmaceutical Inc,5.83
2025-06-12 20:29:51,ONC,Beigene Ltd,5.66
2025-06-12 20:29:51,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.55
2025-06-12 20:29:51,VEON,VEON Ltd,5.35
2025-06-12 20:29:51,CRDO,Credo Technology Group Holding Ltd,5.21
2025-06-12 20:29:51,ZLAB,Zai Lab Ltd - ADR,4.88
2025-06-12 20:29:51,NVCR,Novocure Ltd,4.78
2025-06-12 20:29:51,NAMS,NewAmsterdam Pharma Company NV,4.78
2025-06-12 20:29:51,NEM,Newmont Corporation,4.71
2025-06-12 20:29:51,CAH,Cardinal Health Inc,4.63
2025-06-12 20:32:53,ORCL,Oracle Corp,13.03
2025-06-12 20:32:53,TAC,TransAlta Corp,8.69
2025-06-12 20:32:53,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.26
2025-06-12 20:32:53,GENI,Genius Sports Ltd,7.61
2025-06-12 20:32:53,AU,Anglogold Ashanti PLC,6.58
2025-06-12 20:32:53,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:32:53,SEZL,Sezzle Inc,6.30
2025-06-12 20:32:53,CRK,Comstock Resources Inc,5.93
2025-06-12 20:32:53,FN,Fabrinet,5.64
2025-06-12 20:32:53,ONC,Beigene Ltd,5.61
2025-06-12 20:32:53,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.56
2025-06-12 20:32:53,RARE,Ultragenyx Pharmaceutical Inc,5.41
2025-06-12 20:32:53,VEON,VEON Ltd,5.35
2025-06-12 20:32:53,CRDO,Credo Technology Group Holding Ltd,5.14
2025-06-12 20:32:53,NVCR,Novocure Ltd,5.01
2025-06-12 20:32:53,ZLAB,Zai Lab Ltd - ADR,4.83
2025-06-12 20:32:53,NAMS,NewAmsterdam Pharma Company NV,4.83
2025-06-12 20:32:53,APLD,Applied Digital Corp,4.75
2025-06-12 20:32:53,NEM,Newmont Corporation,4.70
2025-06-12 20:32:53,CAH,Cardinal Health Inc,4.57
2025-06-12 20:35:56,ORCL,Oracle Corp,13.15
2025-06-12 20:35:56,TAC,TransAlta Corp,9.03
2025-06-12 20:35:56,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.15
2025-06-12 20:35:56,GENI,Genius Sports Ltd,7.82
2025-06-12 20:35:56,AAPG,Ascentage Pharma Group International American Depository Shares,6.89
2025-06-12 20:35:56,AU,Anglogold Ashanti PLC,6.50
2025-06-12 20:35:56,SEZL,Sezzle Inc,6.34
2025-06-12 20:35:56,CRK,Comstock Resources Inc,5.91
2025-06-12 20:35:56,FN,Fabrinet,5.81
2025-06-12 20:35:56,ONC,Beigene Ltd,5.61
2025-06-12 20:35:56,RARE,Ultragenyx Pharmaceutical Inc,5.51
2025-06-12 20:35:56,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.39
2025-06-12 20:35:56,VEON,VEON Ltd,5.35
2025-06-12 20:35:56,APLD,Applied Digital Corp,5.27
2025-06-12 20:35:56,CRDO,Credo Technology Group Holding Ltd,5.23
2025-06-12 20:35:56,NVCR,Novocure Ltd,5.10
2025-06-12 20:35:56,ZLAB,Zai Lab Ltd - ADR,5.00
2025-06-12 20:35:56,NEM,Newmont Corporation,4.72
2025-06-12 20:35:56,SATS,EchoStar Corp,4.69
2025-06-12 20:35:56,NAMS,NewAmsterdam Pharma Company NV,4.61
